country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,region,subregion,landAreaKm,density,co2_per_landmass
Australia,1990,AUS,17048002.0,464136601600.0,3.463,0.203,278.154,263.388,21.992,9.11,15.45,0.567,0.255,16.316,0.599,0.269,141.88,8.322,243.168,14.264,0.524,90.173,7539.515,17570.596,4819.424,9.797,374.299,10031.079,2243.58,2.242,60597.098,2.226,7.272,0.427,34.455,2.021,28.566,31.757,-14.766,-0.866,141.07,8.275,80.09,4.698,88.842,5.211,0.132,2.242,1033.059,0.701,1.222,0.953,1.633,0.736,0.933,1.262,1.101,0.12,0.473,1.703,0.834,Oceania,Australia and New Zealand,7692020.0,3.4372,3.616137243532908e-05
Australia,1991,AUS,17271092.0,461003816960.0,3.183,0.184,279.529,230.871,-32.518,-12.346,13.367,0.501,0.225,16.185,0.606,0.273,146.083,8.458,243.848,14.119,0.529,93.356,7819.043,17801.463,4965.507,16.798,407.085,9982.421,2331.825,4.472,59365.438,2.224,7.001,0.405,32.786,1.898,28.197,31.346,-48.658,-2.817,140.91,8.159,79.09,4.579,88.246,5.109,0.129,2.23,1025.306,0.627,1.203,0.824,1.698,0.732,0.94,1.253,1.113,0.198,0.49,1.681,0.836,Oceania,Australia and New Zealand,7692020.0,3.4372,3.634012912082912e-05
Australia,1992,AUS,17462500.0,477843226624.0,2.923,0.167,284.525,310.76,79.889,34.603,17.796,0.65,0.298,16.294,0.595,0.273,150.051,8.593,246.449,14.113,0.516,96.279,8103.569,18112.225,5115.559,24.102,441.055,10008.656,2419.742,6.831,59681.504,2.181,7.304,0.418,33.97,1.945,27.926,31.04,26.234,1.502,138.9,7.954,78.2,4.478,87.917,5.035,0.135,2.36,1042.188,0.553,1.26,1.131,1.787,0.725,0.949,1.251,1.125,0.276,0.507,1.672,0.84,Oceania,Australia and New Zealand,7692020.0,3.4372,3.6989633412289614e-05
Australia,1993,AUS,17631514.0,500840595456.0,3.005,0.17,288.871,331.19,20.43,6.574,18.784,0.661,0.311,16.384,0.577,0.271,150.099,8.513,247.403,14.032,0.494,99.284,8392.439,18443.414,5265.657,31.239,476.725,10050.975,2510.129,9.405,60350.93,2.125,7.137,0.405,35.67,2.023,27.78,30.865,42.319,2.4,137.46,7.796,77.92,4.419,90.387,5.126,0.146,2.574,1064.078,0.545,1.266,1.196,1.766,0.717,0.957,1.25,1.137,0.349,0.524,1.666,0.844,Oceania,Australia and New Zealand,7692020.0,3.4372,3.755463454333192e-05
Australia,1994,AUS,17805506.0,527346171904.0,3.484,0.196,293.697,315.168,-16.022,-4.838,17.701,0.598,0.285,16.495,0.557,0.266,151.376,8.502,255.788,14.366,0.485,102.768,8686.136,18758.582,5417.034,38.119,513.757,10072.446,2602.053,12.405,62085.629,2.096,6.88,0.386,37.032,2.08,27.844,30.899,21.471,1.206,138.45,7.776,77.71,4.364,91.924,5.163,0.168,3.0,1105.466,0.592,1.279,1.115,1.771,0.712,0.965,1.247,1.148,0.414,0.54,1.655,0.849,Oceania,Australia and New Zealand,7692020.0,3.4372,3.818203800822151e-05
Australia,1995,AUS,18003002.0,549172871168.0,3.358,0.187,305.003,495.751,180.583,57.298,27.537,0.903,0.429,16.942,0.555,0.264,155.719,8.65,261.404,14.52,0.476,106.126,8991.139,19254.334,5572.752,45.18,553.588,10263.193,2698.179,15.313,64117.027,2.102,7.061,0.392,39.831,2.212,27.97,30.994,190.748,10.595,137.05,7.613,77.5,4.305,96.127,5.339,0.162,2.908,1154.299,0.539,1.3,1.725,1.771,0.705,0.974,1.256,1.16,0.478,0.557,1.671,0.854,Oceania,Australia and New Zealand,7692020.0,3.4372,3.965187298004945e-05
Australia,1996,AUS,18211850.0,574551425024.0,3.244,0.178,311.886,514.835,19.084,3.85,28.269,0.896,0.433,17.125,0.543,0.263,160.375,8.806,267.776,14.703,0.466,109.37,9303.024,19769.168,5733.127,51.941,593.353,10466.143,2796.876,18.357,65239.766,2.068,6.761,0.371,39.765,2.183,27.508,30.61,202.949,11.144,131.56,7.224,71.87,3.946,98.697,5.419,0.167,3.044,1188.137,0.511,1.291,1.748,1.779,0.697,0.982,1.266,1.171,0.535,0.572,1.69,0.859,Oceania,Australia and New Zealand,7692020.0,3.4372,4.05466964464471e-05
Australia,1997,AUS,18410254.0,600621056000.0,3.185,0.173,320.283,457.902,-56.933,-11.058,24.872,0.762,0.376,17.397,0.533,0.263,167.67,9.107,275.319,14.955,0.458,112.554,9623.308,20227.07,5900.798,58.628,634.428,10603.763,2895.264,21.635,66120.117,2.027,6.687,0.363,41.074,2.231,27.556,30.79,137.62,7.475,134.08,7.283,71.78,3.899,98.388,5.344,0.178,3.278,1217.288,0.482,1.318,1.458,1.87,0.689,0.99,1.269,1.184,0.589,0.586,1.693,0.863,Oceania,Australia and New Zealand,7692020.0,3.4372,4.1638347274188054e-05
Australia,1998,AUS,18601666.0,634305052672.0,3.475,0.187,334.076,536.146,78.243,17.087,28.822,0.845,0.43,17.959,0.527,0.268,177.596,9.547,294.484,15.831,0.464,116.03,9957.383,20763.215,6078.395,65.53,677.916,10805.832,2994.411,25.103,67001.016,1.965,6.902,0.371,43.488,2.338,28.832,31.924,202.07,10.863,136.0,7.311,75.55,4.061,99.146,5.33,0.186,3.467,1246.331,0.528,1.38,1.805,2.035,0.682,1.0,1.279,1.198,0.643,0.602,1.71,0.867,Oceania,Australia and New Zealand,7692020.0,3.4372,4.343150433826225e-05
Australia,1999,AUS,18800892.0,664206835712.0,3.52,0.187,343.489,493.859,-42.286,-7.887,26.268,0.744,0.381,18.27,0.517,0.265,183.215,9.745,295.427,15.713,0.445,119.55,10300.873,21257.074,6261.609,72.695,723.465,10956.203,3094.81,28.743,69004.562,1.953,7.165,0.381,45.549,2.423,30.465,33.655,150.371,7.998,152.62,8.118,93.1,4.952,100.399,5.34,0.194,3.64,1297.347,0.509,1.389,1.634,2.069,0.676,1.009,1.286,1.213,0.697,0.617,1.719,0.871,Oceania,Australia and New Zealand,7692020.0,3.4372,4.465524010597996e-05
